C501;C502;R001-0401;R001-0402;R001-0403;R001-0404;R001-0405;R001-0406;R001-0407;R001-0408;R001-0409;R001-0410;R001-0411;R001-0412;R001-0413;R001-0414;;;;;;;;
Ańo;Trimestre;Líneas activas del Servicio Minorista Fijo de Telefonía (Líneas activas);Líneas activas del Servicio Minorista Móvil de Telefonía (Líneas activas);"	
Líneas activas del Servicio Minorista Móvil de Telefonía bajo esquema OMV (Líneas activas)";Líneas activas del Servicio Minorista de Telefonía Pública (Líneas activas);"	
Accesos activos del Servicio Minorista Móvil Satelital  (Accesos activos)";Accesos activos del Servicio Minorista Fijo de Acceso a Internet  (Accesos activos);Accesos activos del Servicio Minorista Móvil de Acceso a Internet  (Accesos activos);"	
Accesos activos del Servicio Minorista Móvil de Acceso a Internet bajo esquema OMV  (Accesos activos)";Accesos activos del Servicio Minorista Fijo de Acceso Satelital a Internet  (Accesos activos);Accesos activos del Servicio Minorista de Televisión y/o Audio Restringidos (Accesos activos);"	
Enlaces Dedicados fijos activos (Enlaces Dedicados
activos)";"	
Enlaces activos de Provisión de Capacidad Satelital (Enlaces Dedicados
activos)";"	
Enlaces Dedicados mayoristas activos (Enlaces Dedicados
activos)";"Enlaces mayoristas de provisión de capacidad satelital activos (Enlaces Dedicados
activos)";;;;;;;;
2026;P01;0;0;0;0;0;0;0;0;2049;0;0;0;0;0;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
